ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount
1,David,25.0,Female,100.0,30.0,2023-01-01,Grocery,20.0
2,Eve,25.0,Female,248.95738893925656,10.0,2023-01-01,Clothing,20.0
3,Charlie,35.0,Other,248.95738893925656,30.0,2023-01-01,Electronics,10.0
4,Eve,35.0,,248.95738893925656,10.0,,Clothing,5.0
5,Eve,25.0,Male,100.0,10.0,2023-02-15,Electronics,10.0
6,Bob,25.0,,300.0,30.0,2023-02-15,Furniture,
7,Charlie,25.0,,100.0,10.0,,Grocery,5.0
8,Charlie,30.0,Other,300.0,20.0,,Electronics,20.0
9,Charlie,35.0,,200.0,40.0,,,15.0
10,Eve,35.0,,200.0,20.0,,Furniture,
11,David,30.0,Male,100.0,40.0,,Electronics,10.0
12,Charlie,25.0,,300.0,20.0,2023-02-15,,20.0
13,Eve,25.0,Male,300.0,40.0,2023-02-15,Furniture,5.0
14,Bob,25.0,Other,300.0,10.0,2023-01-01,Electronics,5.0
15,David,25.0,Male,200.0,30.0,2023-02-15,,15.0
16,Bob,30.0,Female,100.0,30.0,,Grocery,20.0
17,David,35.0,Female,400.0,24.992101105845183,,Furniture,20.0
18,Eve,25.0,Male,300.0,40.0,2023-01-01,Electronics,
19,Alice,35.0,Female,300.0,24.992101105845183,2023-01-01,,
20,David,20.0,Other,400.0,24.992101105845183,2023-02-15,Grocery,5.0
21,Bob,35.0,Female,100.0,40.0,2023-01-01,,10.0
22,Eve,25.0,Male,300.0,30.0,2023-01-01,Grocery,5.0
23,David,25.0,Other,100.0,40.0,,Electronics,
24,Alice,25.0,Female,300.0,10.0,2023-02-15,,
25,Alice,35.0,Other,248.95738893925656,24.992101105845183,,,
26,Charlie,25.0,Male,300.0,24.992101105845183,,Clothing,5.0
27,Charlie,30.0,Female,248.95738893925656,40.0,,Furniture,20.0
28,Bob,25.0,Other,100.0,24.992101105845183,2023-01-01,,10.0
29,David,25.0,Other,300.0,30.0,2023-01-01,Grocery,10.0
30,David,30.0,Female,200.0,24.992101105845183,,Furniture,
31,Charlie,25.0,Other,200.0,40.0,,Electronics,15.0
32,David,35.0,Other,400.0,30.0,,Furniture,5.0
33,David,35.0,Male,200.0,30.0,,Clothing,20.0
34,Alice,35.0,Male,248.95738893925656,24.992101105845183,2023-01-01,Electronics,
35,Charlie,35.0,Male,200.0,40.0,2023-02-15,,15.0
36,Eve,20.0,Male,200.0,24.992101105845183,2023-01-01,Electronics,
37,Charlie,30.0,Male,200.0,10.0,,Electronics,15.0
38,Eve,30.0,Male,300.0,10.0,,Clothing,10.0
39,Alice,35.0,Female,400.0,30.0,2023-02-15,Grocery,15.0
40,Bob,20.0,Male,100.0,24.992101105845183,,Electronics,10.0
41,David,35.0,Other,400.0,10.0,2023-01-01,Grocery,10.0
42,Alice,20.0,Female,248.95738893925656,20.0,2023-02-15,Furniture,5.0
43,David,35.0,Other,300.0,10.0,2023-02-15,Clothing,15.0
44,Bob,25.0,Male,300.0,24.992101105845183,2023-01-01,,20.0
45,Bob,25.0,Male,200.0,24.992101105845183,,Electronics,20.0
46,Alice,25.0,Other,200.0,10.0,,Grocery,15.0
47,Bob,35.0,Other,248.95738893925656,24.992101105845183,,Electronics,5.0
48,Eve,30.0,Other,300.0,24.992101105845183,2023-01-01,Clothing,20.0
49,Bob,25.0,,100.0,20.0,,,
50,David,25.0,,400.0,30.0,,Furniture,20.0
51,David,35.0,,300.0,24.992101105845183,,Furniture,5.0
52,David,25.0,,100.0,40.0,2023-02-15,Grocery,10.0
53,David,35.0,Female,100.0,30.0,,Furniture,10.0
54,Eve,25.0,Male,400.0,30.0,,Grocery,10.0
55,Charlie,25.0,Other,100.0,40.0,,,5.0
56,Alice,25.0,Male,248.95738893925656,10.0,,Electronics,10.0
57,David,20.0,Other,100.0,20.0,,Clothing,10.0
58,Bob,25.0,Male,248.95738893925656,24.992101105845183,,,5.0
59,David,35.0,Female,100.0,10.0,2023-02-15,,
60,Bob,30.0,,200.0,40.0,2023-02-15,Furniture,20.0
61,Bob,25.0,Male,100.0,20.0,,Furniture,5.0
62,David,30.0,Other,248.95738893925656,20.0,,Clothing,5.0
63,Eve,20.0,Male,100.0,20.0,2023-02-15,Electronics,15.0
64,Bob,25.0,Female,100.0,40.0,2023-01-01,,10.0
65,Bob,25.0,Female,100.0,10.0,2023-02-15,Furniture,
66,David,30.0,Male,248.95738893925656,24.992101105845183,,,15.0
67,Bob,25.0,,100.0,20.0,,Electronics,
68,Bob,25.0,Other,400.0,20.0,2023-01-01,Grocery,10.0
69,David,30.0,Female,400.0,10.0,2023-02-15,Electronics,10.0
70,David,35.0,Female,248.95738893925656,20.0,,,10.0
71,Alice,25.0,Male,200.0,20.0,2023-01-01,,20.0
72,Eve,25.0,Female,400.0,40.0,2023-01-01,Clothing,
73,Eve,25.0,Female,300.0,30.0,,,
74,Bob,35.0,Other,400.0,10.0,2023-02-15,Furniture,15.0
75,Eve,20.0,,300.0,10.0,2023-02-15,Clothing,5.0
76,Bob,25.0,Other,248.95738893925656,10.0,2023-02-15,,10.0
77,Alice,30.0,,200.0,40.0,,Electronics,10.0
78,David,20.0,Other,300.0,40.0,2023-01-01,,15.0
79,David,30.0,Male,300.0,24.992101105845183,,Electronics,
80,David,25.0,Female,400.0,40.0,2023-02-15,Electronics,20.0
81,Eve,35.0,,300.0,10.0,,,
82,Alice,25.0,Male,248.95738893925656,24.992101105845183,,Electronics,20.0
83,Eve,25.0,Female,248.95738893925656,30.0,2023-01-01,Grocery,20.0
84,Eve,35.0,Female,248.95738893925656,20.0,2023-02-15,Clothing,
85,Alice,20.0,Female,400.0,20.0,,,10.0
86,Alice,20.0,Other,200.0,24.992101105845183,2023-02-15,Grocery,20.0
87,Alice,30.0,Male,400.0,30.0,2023-02-15,Electronics,15.0
88,Alice,35.0,Male,248.95738893925656,20.0,2023-02-15,Electronics,15.0
89,David,20.0,Female,400.0,24.992101105845183,,Clothing,20.0
90,Charlie,35.0,,248.95738893925656,40.0,2023-01-01,Grocery,10.0
91,Charlie,25.0,Male,100.0,10.0,2023-01-01,Grocery,20.0
92,Alice,25.0,Other,100.0,30.0,,,15.0
93,Charlie,25.0,,300.0,20.0,,Electronics,15.0
94,Charlie,25.0,,200.0,10.0,2023-02-15,Furniture,
95,Alice,35.0,,100.0,24.992101105845183,2023-02-15,,10.0
96,Charlie,35.0,,248.95738893925656,20.0,2023-01-01,,
97,Eve,30.0,Male,400.0,10.0,,,5.0
98,Bob,25.0,Female,400.0,40.0,,Clothing,20.0
99,Bob,30.0,,300.0,30.0,,Clothing,
100,Alice,25.0,Other,400.0,24.992101105845183,,,10.0
101,David,30.0,Other,100.0,20.0,2023-01-01,Furniture,20.0
102,Alice,30.0,Female,400.0,40.0,,Grocery,20.0
103,David,25.0,Male,100.0,30.0,,Grocery,20.0
104,Bob,30.0,Female,100.0,30.0,,Electronics,20.0
105,Alice,35.0,,200.0,40.0,,Grocery,20.0
106,Eve,30.0,Male,300.0,20.0,,Grocery,10.0
107,Charlie,25.0,Male,248.95738893925656,30.0,2023-01-01,Furniture,5.0
108,David,30.0,,100.0,24.992101105845183,,Grocery,15.0
109,Charlie,20.0,Other,300.0,10.0,2023-01-01,Furniture,5.0
110,Charlie,25.0,,248.95738893925656,24.992101105845183,,Clothing,15.0
111,Alice,20.0,Female,400.0,30.0,,Furniture,
112,Charlie,25.0,,300.0,10.0,,Clothing,20.0
113,Eve,35.0,Other,300.0,40.0,2023-01-01,Furniture,
114,Charlie,35.0,,300.0,10.0,,,
115,Alice,35.0,Female,400.0,10.0,,Clothing,15.0
116,Eve,20.0,Female,400.0,10.0,2023-01-01,Clothing,10.0
117,Bob,25.0,Other,300.0,30.0,,Grocery,20.0
118,Charlie,25.0,Female,200.0,20.0,2023-02-15,Clothing,
119,Alice,35.0,Female,100.0,30.0,,Furniture,5.0
120,Bob,25.0,,400.0,20.0,,,20.0
121,Bob,20.0,Male,200.0,40.0,2023-01-01,,10.0
122,David,25.0,Female,400.0,40.0,,Grocery,20.0
123,Eve,20.0,Female,300.0,40.0,2023-01-01,Furniture,
124,Charlie,25.0,Other,200.0,40.0,2023-02-15,Furniture,5.0
125,Alice,25.0,Other,248.95738893925656,40.0,,Electronics,
126,David,25.0,,100.0,24.992101105845183,2023-02-15,Clothing,10.0
127,Eve,20.0,,100.0,30.0,2023-01-01,Grocery,15.0
128,David,35.0,Female,400.0,20.0,,,5.0
129,Eve,25.0,Male,100.0,40.0,2023-02-15,Electronics,10.0
130,Eve,30.0,Male,248.95738893925656,24.992101105845183,,Furniture,10.0
131,Charlie,30.0,,200.0,24.992101105845183,2023-01-01,Clothing,
132,Eve,20.0,Other,200.0,24.992101105845183,2023-01-01,,
133,David,25.0,Female,300.0,30.0,2023-01-01,Electronics,
134,Eve,25.0,Female,200.0,40.0,,Furniture,15.0
135,Charlie,20.0,Male,400.0,24.992101105845183,2023-01-01,,20.0
136,Charlie,25.0,,248.95738893925656,24.992101105845183,2023-01-01,,20.0
137,David,35.0,Male,300.0,40.0,,Furniture,
138,Bob,20.0,Male,400.0,30.0,2023-01-01,Furniture,
139,Bob,35.0,,400.0,24.992101105845183,2023-01-01,Grocery,15.0
140,Eve,25.0,Other,400.0,20.0,2023-02-15,,20.0
141,Alice,20.0,Female,100.0,10.0,2023-01-01,Furniture,15.0
142,Eve,25.0,Other,400.0,10.0,,Electronics,10.0
143,David,20.0,,100.0,10.0,2023-02-15,Clothing,20.0
144,David,25.0,,200.0,30.0,2023-01-01,Grocery,
145,David,35.0,Female,100.0,24.992101105845183,,Furniture,5.0
146,David,35.0,Other,400.0,10.0,,Clothing,10.0
147,David,25.0,Female,248.95738893925656,10.0,2023-01-01,Grocery,5.0
148,Charlie,20.0,Male,248.95738893925656,40.0,,,15.0
149,Bob,30.0,Male,200.0,24.992101105845183,2023-02-15,Clothing,15.0
150,David,35.0,Male,400.0,24.992101105845183,,Grocery,15.0
151,Alice,35.0,Other,100.0,40.0,2023-02-15,Furniture,
152,Alice,30.0,Male,248.95738893925656,24.992101105845183,,Furniture,15.0
153,Alice,25.0,Female,300.0,20.0,,Grocery,5.0
154,Alice,20.0,Other,400.0,30.0,,,10.0
155,Charlie,25.0,Female,400.0,40.0,,Grocery,
156,Alice,25.0,,300.0,10.0,,Electronics,10.0
157,David,35.0,Other,248.95738893925656,24.992101105845183,,Grocery,15.0
158,Eve,25.0,Female,300.0,20.0,,Grocery,20.0
159,Alice,35.0,Female,200.0,20.0,,Furniture,
160,Charlie,35.0,Other,100.0,30.0,2023-01-01,,15.0
161,Charlie,25.0,,100.0,20.0,,Grocery,
162,Alice,25.0,Other,248.95738893925656,24.992101105845183,,Clothing,20.0
163,Eve,25.0,Male,300.0,24.992101105845183,,Furniture,5.0
164,Alice,25.0,Male,400.0,20.0,,Furniture,5.0
165,Charlie,25.0,,400.0,24.992101105845183,,Grocery,5.0
166,Bob,25.0,Female,400.0,24.992101105845183,2023-01-01,Clothing,20.0
167,David,25.0,Female,200.0,10.0,,Grocery,10.0
